normalized_name,ghosh_chemical_name,ghosh_chem_id,ghosh_super_pathway,ghosh_sub_pathway,ghosh_nr_cohorts_present,ghosh_max_missingness,ghosh_percent_missing_MDCS,ghosh_percent_missing_PIVUS,ghosh_percent_missing_POEM,ghosh_percent_missing_SCAPIS_M,ghosh_percent_missing_SCAPIS_U,ghosh_all5_cohorts,ghosh_core_50pct,source_ghosh_2024
s-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,35,Amino Acid,Glutamate Metabolism,5,7.220216606,0.369344414,,,0.0241955,7.220216606,TRUE,TRUE,TRUE
spermidine,spermidine,50,Amino Acid,Polyamine Metabolism,5,3.78578024,3.78578024,,0.598802395,0.217759497,3.610108303,TRUE,TRUE,TRUE
1-methylnicotinamide,1-methylnicotinamide,55,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,5,0.0241955,,,,0.0241955,0.020056157,TRUE,TRUE,TRUE
12 13-dihome,12 13-DiHOME,62,Lipid,Fatty Acid	 Dihydroxy,3,14.86611265,14.86611265,NA,NA,14.03338979,9.466506217,FALSE,FALSE,TRUE
alpha-ketoglutarate,alpha-ketoglutarate,93,Energy,TCA Cycle,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
kynurenate,kynurenate,98,Amino Acid,Tryptophan Metabolism,5,0.0923,0.0923,,,0.072586499,0.040112314,TRUE,TRUE,TRUE
3-hydroxyisobutyrate,3-hydroxyisobutyrate,111,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,5,7.185628743,0.923361034,3.980099502,7.185628743,1.30655698,1.444043321,TRUE,TRUE,TRUE
3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,112,Lipid,Mevalonate Metabolism,5,1.292705448,1.292705448,0.829187396,,0.919428986,0.020056157,TRUE,TRUE,TRUE
homovanillate (hva),homovanillate (HVA),117,Amino Acid,Tyrosine Metabolism,4,11.71279583,NA,1.160862355,6.986027944,3.121219453,11.71279583,FALSE,FALSE,TRUE
3-phosphoglycerate,3-phosphoglycerate,132,Carbohydrate,Glycolysis	 Gluconeogenesis	 and Pyruvate Metabolism,5,0.995024876,,0.995024876,0.399201597,0.145172998,0.58162856,TRUE,TRUE,TRUE
cholate,cholate,136,Lipid,Primary Bile Acid Metabolism,5,2.216066482,2.216066482,1.326699834,1.596806387,0.580691991,0.842358604,TRUE,TRUE,TRUE
