normalized_name,metabolite_name,hmdb_id,pubchem_cid,chebi_id,kegg_id,chemspider_id,status,formula,monoisotopic_molecular_weight,average_molecular_weight,inchikey,smiles,direct_parent,super_class,class,sub_class,biospecimen_locations,serum_metabolome_has_blood,serum_metabolome_has_serum,serum_metabolome_has_plasma,normal_concentration_count,normal_blood_concentration_count,normal_serum_concentration_count,normal_plasma_concentration_count,normal_concentration_biospecimens,pubmed_ids,source_serum_metabolome
1-methylhistidine,1-Methylhistidine,HMDB0000001,92105,50599,C01152,83153,quantified,C7H11N3O2,169.085126611,169.1811,BRMWTNUJHUMWMS-LURJTMIESA-N,CN1C=NC(C[C@H](N)C(O)=O)=C1,Histidine and derivatives,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Blood; Cerebrospinal Fluid (CSF); Feces; Saliva; Urine,TRUE,FALSE,FALSE,50,8,0,0,Blood; Cerebrospinal Fluid (CSF); Feces; Saliva; Urine,32966057; 7061274; 17031479; 25486321; 29808030; 27543620; 1819935; 27012787; 22932811; 24023812; 11052553; 15899597; 17022649; 21736852; 23269817; 10362454; 7762816; 2593832; 2912013; 14156296; 9478024; 9029312; 1484110; 32033212; 24137022; 33563959; 21527577; 30018457,TRUE
"1,3-diaminopropane","1,3-Diaminopropane",HMDB0000002,428,15725,C00986,415,quantified,C3H10N2,74.08439833,74.1249,XFNJVJPLKCPIBV-UHFFFAOYSA-N,NCCCN,Monoalkylamines,Organic nitrogen compounds,Organonitrogen compounds,Amines,Blood; Feces; Urine,TRUE,FALSE,FALSE,5,1,0,0,Blood; Urine,17668437; 3757213; 9464484; 19309105; 24023812; 9226558; 5096953; 1150841; 6324613; 293750; 8624793; 3308180; 6713628; 23455439,TRUE
2-ketobutyric acid,2-Ketobutyric acid,HMDB0000005,58,30831,C00109,57,quantified,C4H6O3,102.031694058,102.0886,TYEYBOSBBBHJIV-UHFFFAOYSA-N,CCC(=O)C(O)=O,Short-chain keto acids and derivatives,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Blood; Cerebrospinal Fluid (CSF); Saliva; Urine,TRUE,FALSE,FALSE,17,4,0,0,Blood; Cerebrospinal Fluid (CSF); Saliva; Urine,3918815; 9869358; 6704500; 32966057; 24023812; 31506554; 12867486; 1474480; 1499240,TRUE
2-hydroxybutyric acid,2-Hydroxybutyric acid,HMDB0000008,440864,50613,C05984,389701,quantified,C4H8O3,104.047344118,104.105,AFENDNXGAFYKQO-VKHMYHEASA-N,CC[C@H](O)C(O)=O,Alpha hydroxy acids and derivatives,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,Blood; Cerebrospinal Fluid (CSF); Feces; Saliva; Sweat; Urine,TRUE,FALSE,FALSE,36,6,0,0,Blood; Cerebrospinal Fluid (CSF); Feces; Saliva; Sweat; Urine,26010610; 8412012; 22024767; 27355821; 18502700; 8376520; 29808030; 25037050; 27543620; 22308371; 23857558; 26755145; 27012787; 168632; 31963255; 24023812; 8257730; 19212411; 19166731; 20526369; 32033212,TRUE
2-methoxyestrone,2-Methoxyestrone,HMDB0000010,440624,1189,C05299,389515,quantified,C19H24O3,300.172544634,300.3921,WHEUWNKSCXYKBU-QPWUGHHJSA-N,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,Estrogens and derivatives,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Blood; Urine,TRUE,FALSE,FALSE,2,1,0,0,Blood; Urine,9812172; 6863476; 462497; 516114; 11413487; 16902246; 17374880; 20044567; 10865186,TRUE
3-hydroxybutyric acid,3-Hydroxybutyric acid,HMDB0000011,92135,17066,C01089,83181,quantified,C4H8O3,104.047344122,104.1045,WHBMMWSBFZVSSR-GSVOUGTGSA-N,C[C@@H](O)CC(O)=O,Beta hydroxy acids and derivatives,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Blood; Cellular Cytoplasm; Cerebrospinal Fluid (CSF); Feces; Saliva; Urine,TRUE,FALSE,FALSE,98,26,0,0,Blood; Cellular Cytoplasm; Cerebrospinal Fluid (CSF); Feces; Saliva; Urine,16540841; 16253646; 415828; 1220702; 5032673; 22800120; 172850; 11489939; 16384844; 25004141; 23430856; 12072887; 9802754; 8295396; 26010610; 22024767; 26079780; 21359215; 9337379; 21505807; 8412012; 8579834; 18502700; 9693263; 15627241; 29808030; 26476344; 24029555; 20669995; 28842642,TRUE
deoxyuridine,Deoxyuridine,HMDB0000012,13712,16450,C00526,13118,quantified,C9H12N2O5,228.074621504,228.202,MXHRCPNRJAMMIM-SHYZEUOFSA-N,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,Pyrimidine 2'-deoxyribonucleosides,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,Blood; Cerebrospinal Fluid (CSF); Feces; Urine,TRUE,FALSE,FALSE,13,4,0,0,Blood; Cerebrospinal Fluid (CSF); Feces; Urine,20151198; 15866500; 6656991; 7877593; 29808030; 27609529; 25037050; 27543620; 30817767; 16613999; 19212411; 9675653; 3812550; 1906076; 3761048; 9930567; 12638947; 2328792; 11432631; 32033212,TRUE
deoxycytidine,Deoxycytidine,HMDB0000014,13711,15698,C00881,13117,quantified,C9H13N3O4,227.090605919,227.2172,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,Pyrimidine 2'-deoxyribonucleosides,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,Blood; Feces; Urine,TRUE,FALSE,FALSE,6,1,0,0,Blood; Feces; Urine,3243806; 29808030; 27609529; 25037050; 27543620; 15116424; 15203276; 6714272; 12171902; 28318037,TRUE
cortexolone,Cortexolone,HMDB0000015,440707,28324,C05488,389582,quantified,C21H30O4,346.214409448,346.4605,WHBHBVVOGNECLV-OBQKJFGGSA-N,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,21-hydroxysteroids,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Blood; Feces; Urine,TRUE,FALSE,FALSE,8,4,0,0,Blood; Feces; Urine,32966057; 8890720; 8933406; 28701177; 3515819; 6296182; 2022736; 8081391; 1775135; 2808702; 14709852; 15887869; 15755848; 15834216; 1034356; 15985474; 15807871; 8169562; 15780662; 15780661; 1024042; 11413487; 16902246; 17374880; 20044567,TRUE
deoxycorticosterone,Deoxycorticosterone,HMDB0000016,6166,16973,C03205,5932,quantified,C21H30O3,330.219494826,330.4611,ZESRJSPZRDMNHY-YFWFAHHUSA-N,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,21-hydroxysteroids,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Amniotic Fluid; Blood,TRUE,FALSE,FALSE,3,2,0,0,Amniotic Fluid; Blood,7462398; 12119960; 26161337; 8081391; 2808702; 15780662; 11423756; 2164659; 15181062; 1751389; 1423019; 15483094; 16112410; 15947887; 15134803; 15117882; 15816373; 1555868; 871129; 15167270; 9746224; 11413487; 16902246; 17374880; 20044567; 20671982,TRUE
