normalized_name,metabolite_name,hmdb_id,smiles,average_molecular_weight,monoisotopic_molecular_weight,srm1950_instrument_type,srm1950_classification,srm1950_reference,source_srm1950_db,nist_srm1950,serum_evidence,hmdb_biofluid,endogenous_hint
cholic acid,Cholic acid,HMDB0000619,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,408.5714,408.287574390,LC-MS/MS,Steroids and steroid derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
deoxycholic acid,Deoxycholic acid,HMDB0000626,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,392.5720,392.292659800,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
lithocholic acid,Lithocholic acid,HMDB0000761,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,376.5726,376.297745100,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
allocholic acid,Allocholic acid,HMDB0000505,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,408.5790,408.287574400,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
chenodeoxycholic acid,Chenodeoxycholic acid,HMDB0000518,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,392.5720,392.292659800,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
dehydrocholic acid,Dehydrocholic acid,HMDB0304121,CC(CCC([O-])=O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C,405.5560,405.264647900,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
12-ketolithocholic acid,12-Ketolithocholic acid,HMDB0000328,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC(=O)[C@]12C)[C@H](C)CCC(O)=O,390.5561,390.277009700,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
7-ketodeoxycholic acid,7-Ketodeoxycholic acid,HMDB0000391,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC(=O)[C@]12C)[C@H](C)CCC(O)=O,390.5561,390.277009700,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
7-ketolithocholic acid,7-Ketolithocholic acid,HMDB0000467,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,406.5555,406.271924300,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
hyodeoxycholic acid,Hyodeoxycholic acid,HMDB0000733,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)C2C[C@H](O)CC[C@]12C,392.5720,392.292659800,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
