normalized_name,metabolite_name,hmdb_id,pubchem_cid,chebi_id,kegg_id,plasma_benchmark,nist_srm1950,hmdb_biofluid,serum_evidence,endogenous_hint,lipid_class,ghosh_2024_plasma,ghosh_2024_all5_cohorts,ghosh_2024_core_50pct,serum_metabolome,srm1950_db,source_count,evidence_tier
"((1r,2r,5r)-2-(2,6-dimethoxy-4-(2-methyloctan-2-yl)phenyl)-7,7-dimethyl-4-bicyclo(3.1.1)hept-3-enyl) methanol","((1R,2R,5R)-2-(2,6-Dimethoxy-4-(2-methyloctan-2-yl)phenyl)-7,7-dimethyl-4-bicyclo(3.1.1)hept-3-enyl) methanol",HMDB0242225,20764337,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"((2,6-bis(1-methylethyl)phenoxy)sulfonyl)carbamic acid 2,6-bis(1-methylethyl)phenyl ester","((2,6-Bis(1-methylethyl)phenoxy)sulfonyl)carbamic acid 2,6-bis(1-methylethyl)phenyl ester",HMDB0242226,3025787,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"((2r,3s)-3-amino-2-hydroxy-2-(1h-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic acid","((2R,3S)-3-Amino-2-hydroxy-2-(1H-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic Acid",HMDB0242228,3905,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"((2r,3s,4s,5r,6s)-6-(2-(3-(benzofuran-5-yl)propanoyl)-3-hydroxy-5-methylphenoxy)-3,4,5-trihydroxytetrahydro-2h-pyran-2-yl)methyl methyl carbonate","((2R,3S,4S,5R,6S)-6-(2-(3-(Benzofuran-5-yl)propanoyl)-3-hydroxy-5-methylphenoxy)-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl)methyl methyl carbonate",HMDB0242227,22390119,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"((2r,5r)-2-benzyl-5-(prop-2-yn-1-yloxy)piperidin-1-yl)(4-(bis(4-fluorophenyl)(hydroxy)methyl)-2h-1,2,3-triazol-2-yl)methanone","((2R,5R)-2-Benzyl-5-(prop-2-yn-1-yloxy)piperidin-1-yl)(4-(bis(4-fluorophenyl)(hydroxy)methyl)-2H-1,2,3-triazol-2-yl)methanone",HMDB0242229,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"((4-(3-(4-fluoro-alpha-hydroxybenzyl)-4-hydroxyphenoxy)-3,5-dimethylphenyl)amino)oxoacetate","((4-(3-(4-Fluoro-alpha-hydroxybenzyl)-4-hydroxyphenoxy)-3,5-dimethylphenyl)amino)oxoacetate",HMDB0242230,133077,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
((4-(4-amidinophenoxy)butanoyl)aspartyl)valine,((4-(4-Amidinophenoxy)butanoyl)aspartyl)valine,HMDB0242231,44461963,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
((m-chlorophenyl)azo)malononitrile,((m-Chlorophenyl)azo)malononitrile,HMDB0243528,19492,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
((s)-2-((s)-2-((s)-2-((s)-1-(d-histidyl)pyrrolidine-2-carboxamido)-3-phenylpropanamido)-3-(1h-imidazol-4-yl)propanamido)-4-methylpentyl)-l-leucyl-l-valyl-l-tyrosine,((S)-2-((S)-2-((S)-2-((S)-1-(D-Histidyl)pyrrolidine-2-carboxamido)-3-phenylpropanamido)-3-(1H-imidazol-4-yl)propanamido)-4-methylpentyl)-L-leucyl-L-valyl-L-tyrosine,HMDB0242232,3472788,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
((s)-2-((s)-2-((s)-2-((s)-1-(l-prolyl-l-histidyl)pyrrolidine-2-carboxamido)-3-phenylpropanamido)-3-(1h-imidazol-4-yl)propanamido)-4-methylpentyl)-l-valyl-l-isoleucyl-l-histidyl-l-lysine,((S)-2-((S)-2-((S)-2-((S)-1-(L-Prolyl-L-histidyl)pyrrolidine-2-carboxamido)-3-phenylpropanamido)-3-(1H-imidazol-4-yl)propanamido)-4-methylpentyl)-L-valyl-L-isoleucyl-L-histidyl-L-lysine,HMDB0242233,14081329,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(+)-(r)-2-(2,4-difluorophenyl)-1-(3-((e)-4-(2,2,3,3-tetrafluoropropoxy)styryl)-1,2,4-triazol-1-yl)-3-(1,2,4-triazol-1-yl)propan-2-ol","(+)-(R)-2-(2,4-Difluorophenyl)-1-(3-((E)-4-(2,2,3,3-tetrafluoropropoxy)styryl)-1,2,4-triazol-1-yl)-3-(1,2,4-triazol-1-yl)propan-2-ol",HMDB0242238,53423084,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-1-(9-fluorenyl)ethyl chloroformate,(+)-1-(9-Fluorenyl)ethyl chloroformate,HMDB0242239,115102,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(+)-2-(benzothiophen-4-yl)-n-methyl-n-((1r,2r)-2-pyrrolidin-1-ylcyclohexyl)acetamide","(+)-2-(Benzothiophen-4-yl)-N-methyl-N-((1R,2R)-2-pyrrolidin-1-ylcyclohexyl)acetamide",HMDB0242240,10316246,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-2-amino-7-phosphonoheptanoic acid,(+)-2-Amino-7-phosphonoheptanoic acid,HMDB0242241,3122,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(+)-3,4-didehydrocoronaridine","(+)-3,4-Didehydrocoronaridine",HMDB0242242,418553,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-arteannuin,(+)-Arteannuin,HMDB0242246,2240,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-bicuculline,(+)-Bicuculline,HMDB0243531,2376,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-brusatol,(+)-Brusatol,HMDB0243532,299645,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-butaclamol,(+)-Butaclamol,HMDB0242247,1224,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-cis-3-methylfentanyl,(+)-cis-3-Methylfentanyl,HMDB0243534,61996,61092,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-cis-khellactone,(+)-cis-Khellactone,HMDB0243535,253856,168011,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-cocaine,(+)-Cocaine,HMDB0243537,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-diacetyl-l-tartaric anhydride,(+)-Diacetyl-L-tartaric anhydride,HMDB0242250,95411,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-epibatidine,(+)-Epibatidine,HMDB0242251,1204,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-eseroline,(+)-Eseroline,HMDB0243538,1250,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-hyoscyamine,(+)-Hyoscyamine,HMDB0242263,3661,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-isofebrifugine,(+)-Isofebrifugine,HMDB0242253,115723,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-isopilocarpine,(+)-Isopilocarpine,HMDB0243539,4819,39460,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-limonene,(+)-Limonene,HMDB0003375,440917,15382,C06099,FALSE,FALSE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 2_probable_plasma
(+)-lithospermic acid,(+)-Lithospermic acid,HMDB0242255,4482010,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-lysergic acid,(+)-Lysergic acid,HMDB0242256,622688,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-nicotine,(+)-Nicotine,HMDB0243542,942,138000,C16150,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
