source_id,source_kind,short_name,title_or_resource,resource_scope,evidence_role,primary_url,citation_text,version_or_release,update_strategy,notes
ghosh_2024_plasma_metabolomes,article_supplement,Ghosh 2024,"Analysis of plasma metabolomes from 11,309 individuals",Untargeted LC-MS human fasting plasma metabolites across five cohorts,large-cohort plasma detection and reproducibility evidence,https://www.nature.com/articles/s41598-024-59388-7,"Ghosh et al. Scientific Reports 2024; supplementary table of 1,629 plasma metabolites.",2024,manual_download_supplement,Imported Supplementary Table 1; core flags are based on all five cohorts and max missingness <=50%.
serum_metabolome_database,biofluid_database,Serum Metabolome,The Serum Metabolome Database / HMDB serum metabolite XML,Human serum and blood small molecules with HMDB identifiers and concentration literature,serum/plasma compendium and identifier mapping,https://www.serummetabolome.ca/downloads,Psychogios et al. The Human Serum Metabolome. PLoS ONE 2011; Serum Metabolome Database downloads.,HMDB 5.0 XML download,manual_download_current_zip,"Imported serum_metabolites.zip XML; serum evidence is treated as blood-adjacent support, not alone as MSI level 1."
psychogios_2011_human_serum_metabolome,article,Psychogios 2011,The Human Serum Metabolome,Confirmed or highly probable human serum/plasma compounds,classic serum/plasma compendium source,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016957,"Psychogios N et al. PLoS ONE 2011; reported 4,229 confirmed or highly probable serum/plasma compounds.",2011,covered_by_serum_metabolome_database,Use as conceptual/citation basis for the Serum Metabolome compendium.
nist_srm1950,reference_material,NIST SRM 1950,Metabolites in Human Plasma Standard Reference Material 1950,NIST human plasma QC/reference material,gold-standard human plasma reference material and QC anchor,https://www.nist.gov/programs-projects/metabolomics-quality-assurance-and-quality-control-materials-metqual-program,NIST SRM 1950 and associated metabolomics quality assurance publications.,rolling,manual_curated_update,Kept as highest-confidence source category; full compound list is not imported by this build script.
srm1950_db_2025,reference_database,SRM1950-DB,SRM1950-DB metabolite concentration reference database,High-confidence metabolites and metabolite species in NIST SRM 1950,quantitative human plasma reference database,https://srm1950-data.wishartlab.com/,Mandal et al. 2025 SRM1950-DB resource.,1.0,manual_download_csv,Imported srm1950-data.csv as a gold/reference-material evidence source.
plasma_benchmark_2025,article_and_resource,Plasma Benchmark,Plasma Benchmark human plasma LC-MS benchmark resource,Human plasma metabolites and lipids robustly detectable by LC-MS,plasma-centric benchmark evidence,https://plasmabenchmark.utu.fi/,Plasma Benchmark resource and associated 2025 article on robustly detectable human plasma metabolites and lipids.,2025,manual_import_when_accessible,Cataloged as a key plasma benchmark source; only package seed overrides are currently marked.
hmdb_main,biological_database,HMDB,Human Metabolome Database,Human metabolites and biofluids,"identifier mapping, taxonomy, biofluid and concentration support",https://hmdb.ca/,Wishart DS et al. HMDB 5.0 and related HMDB releases.,5.0+,manual_download_current_zip,Used through the Serum Metabolome XML subset in this build.
husermet_2015,article_and_archive,HUSERMET,"HUSERMET: human serum metabolome study in 1,200 healthy adults",Untargeted GC-MS and UPLC-MS human serum profiles,supporting healthy-serum baseline evidence,https://link.springer.com/article/10.1007/s11306-014-0707-1,Dunn et al. Metabolomics 2015; HUSERMET study and MetaboLights MTBLS97.,2015,manual_follow_up,Cataloged for future import; not currently parsed into the bundled table.
hubmet_2025,integrated_database,HUBMet,HUBMet human blood metabolite integrated database,Human blood metabolites integrated from literature and databases,supporting integrative blood metabolite evidence,https://link.springer.com/article/10.1186/s13059-025-03922-x,HUBMet Genome Biology 2025 integrated human blood metabolite resource.,2025,manual_follow_up,Use as a secondary integrative source after tracing original evidence.
blood_exposome,exposome_database,Blood Exposome,Blood Exposome Database,Blood chemicals including endogenous and exogenous compounds,exogenous or exposure-related blood evidence,https://bloodexposome.org/,Barupal DK and Fiehn O. Generating the Blood Exposome Database. Environ Health Perspect. 2019.,2019+,manual_curated_update,Use to flag compounds known in blood that may still be exogenous.
drugbank,drug_database,DrugBank,DrugBank database,Drugs and drug metabolites,drug labeling evidence,https://go.drugbank.com/,DrugBank database releases.,current,manual_curated_update,Use to flag pharmaceuticals and drug-like molecules.
foodb,food_database,FooDB,FooDB food composition database,Food compounds and food-derived chemicals,dietary labeling evidence,https://foodb.ca/,FooDB database releases from the Wishart lab.,current,manual_curated_update,Use to flag food-derived and dietary compounds.
chebi,ontology_database,ChEBI,Chemical Entities of Biological Interest ontology,Chemical ontology and roles,role or class support and endogenous/drug/xenobiotic semantics,https://www.ebi.ac.uk/chebi/,ChEBI ontology releases.,current,manual_curated_update,"Use for chemical roles such as metabolite, drug, xenobiotic, or natural product."
lipidmaps,lipid_database,LIPID MAPS,LIPID MAPS structure and classification resources,"Lipid structures, classes, and nomenclature",lipid normalization and class support,https://www.lipidmaps.org/,LIPID MAPS consortium resources and database releases.,current,manual_curated_update,Use for conservative lipid class handling and identifiers.
refmet,nomenclature_standard,RefMet,RefMet metabolite nomenclature standard,Metabolite naming and harmonization,name normalization support,https://www.metabolomicsworkbench.org/databases/refmet/,RefMet naming standard distributed through Metabolomics Workbench.,current,manual_curated_update,"Use to harmonize metabolite names, especially lipid reporting."
